Iteration           Energy (eV)         Fmax (eV/A)         
0                   -378334.38925       0.007205            
1                   -378334.352514      1.15835             
2                   -378334.193849      1.20939             
3                   -378334.000632      1.155317            
4                   -378333.804631      1.503602            
5                   -378333.581081      1.02982             
6                   -378333.338571      1.153222            
7                   -378333.037815      1.259616            
8                   -378332.704573      1.096524            
9                   -378332.433151      0.923178            
10                  -378332.249308      0.994565            
11                  -378332.706999      1.722906            
12                  -378333.102523      1.551686            
13                  -378332.636218      1.221884            
14                  -378332.638513      2.271623            
15                  -378332.568252      4.107294            
16                  -378332.67101       0.553166            
17                  -378332.683009      0.72151             
18                  -378332.706144      0.270582            
19                  -378332.721187      0.313674            
20                  -378332.731214      0.190121            
21                  -378332.735787      0.114353            
22                  -378332.737563      0.087402            
23                  -378332.738473      0.046746            
24                  -378332.73919       0.045566            
25                  -378332.740017      0.048141            
26                  -378332.740709      0.102866            
27                  -378332.741549      0.047057            
28                  -378332.74219       0.073186            
29                  -378332.742989      0.062759            
30                  -378332.743739      0.037902            
31                  -378332.744106      0.021532            
32                  -378332.744359      0.01477             
33                  -378332.744595      0.018471            
34                  -378332.744772      0.015256            
35                  -378332.744854      0.008057            
