Iteration           Energy (eV)         Fmax (eV/A)         
0                   -213.131066         0.009927            
1                   -213.113374         0.691498            
2                   -213.071622         1.220381            
3                   -212.946378         2.031101            
4                   -212.611496         2.889266            
5                   -212.30553          2.931735            
6                   -212.258096         2.340541            
7                   -212.343918         1.403052            
8                   -212.349628         1.39747             
9                   -212.378677         0.735047            
10                  -212.395078         0.317302            
11                  -212.401285         0.315283            
12                  -212.42206          0.399161            
13                  -212.433363         0.202653            
14                  -212.435673         0.139824            
15                  -212.437338         0.164993            
16                  -212.44278          0.238844            
17                  -212.446371         0.136026            
18                  -212.447036         0.068464            
19                  -212.447659         0.096012            
20                  -212.448692         0.091325            
21                  -212.449156         0.03542             
22                  -212.44962          0.023419            
23                  -212.449647         0.012547            
24                  -212.449693         0.016733            
25                  -212.449718         0.018407            
26                  -212.449772         0.010365            
27                  -212.449784         0.00818             
