Iteration           Energy (eV)         Fmax (eV/A)         
0                   -378861.12072       0.006227            
1                   -378861.11282       0.579561            
2                   -378861.098367      0.803169            
3                   -378861.063175      1.148325            
4                   -378860.973117      1.697082            
5                   -378860.73197       2.41571             
6                   -378860.229208      2.8517              
7                   -378859.552827      2.944647            
8                   -378858.805822      2.873342            
9                   -378858.156062      2.338168            
10                  -378857.709073      1.352475            
11                  -378857.595108      2.008008            
12                  -378857.651202      1.780924            
13                  -378858.155488      2.297377            
14                  -378858.46426       2.368963            
15                  -378858.653246      2.875439            
16                  -378858.837906      1.945254            
17                  -378858.964543      2.19428             
18                  -378859.040502      1.199181            
19                  -378859.080682      0.789466            
20                  -378859.107441      0.618896            
21                  -378859.125055      0.485751            
22                  -378859.178712      0.272196            
23                  -378859.181696      0.264271            
24                  -378859.189602      0.240656            
25                  -378859.20613       0.207233            
26                  -378859.208768      0.142245            
27                  -378859.213465      0.152163            
28                  -378859.219816      0.191776            
29                  -378859.222054      0.097555            
30                  -378859.223362      0.08504             
31                  -378859.22449       0.116695            
32                  -378859.225595      0.074974            
33                  -378859.226139      0.077407            
34                  -378859.226703      0.06949             
35                  -378859.227313      0.067949            
36                  -378859.22771       0.0619              
37                  -378859.22801       0.046789            
38                  -378859.22831       0.042489            
39                  -378859.228507      0.036135            
40                  -378859.228648      0.035347            
41                  -378859.228837      0.043232            
42                  -378859.229014      0.030955            
43                  -378859.229092      0.018152            
44                  -378859.22915       0.018127            
45                  -378859.229263      0.039748            
46                  -378859.229386      0.036765            
47                  -378859.22945       0.017519            
48                  -378859.229527      0.03111             
49                  -378859.229684      0.040838            
50                  -378859.229824      0.024763            
51                  -378859.229889      0.020459            
52                  -378859.229967      0.030443            
53                  -378859.230096      0.035852            
54                  -378859.230191      0.022888            
55                  -378859.230246      0.028195            
56                  -378859.230345      0.026483            
57                  -378859.230486      0.034891            
58                  -378859.230564      0.021841            
59                  -378859.230618      0.022611            
60                  -378859.230728      0.04222             
61                  -378859.230863      0.03581             
62                  -378859.230917      0.012624            
63                  -378859.230951      0.013997            
64                  -378859.231019      0.024062            
65                  -378859.231088      0.017661            
66                  -378859.231111      0.009783            
