Iteration           Energy (eV)         Fmax (eV/A)         
0                   6.510282            0.000876            
1                   6.517083            0.078285            
2                   6.559259            0.304033            
3                   6.59984             0.379277            
4                   6.614182            0.230634            
5                   6.613365            0.082436            
6                   6.611923            0.071093            
7                   6.609274            0.045915            
8                   6.608397            0.039717            
9                   6.607806            0.01591             
10                  6.607754            0.014882            
11                  6.607676            0.013517            
12                  6.607635            0.011424            
13                  6.607597            0.008749            
