Iteration           Energy (eV)         Fmax (eV/A)         
0                   6.510282            0.000876            
1                   6.513686            0.079136            
2                   6.522182            0.17643             
3                   6.548194            0.432617            
4                   6.570907            0.601919            
5                   6.563217            0.253929            
6                   6.559892            0.171469            
7                   6.558362            0.09642             
8                   6.557683            0.084799            
9                   6.556097            0.05683             
10                  6.555834            0.033933            
11                  6.555627            0.011437            
12                  6.55559             0.008072            
